# 01 ==========================================================================================;;;;;;
# 02 tracciato record: ( separatore tra campi ==> ; ) non sono ammessi caratteri spazio nei campi);;;;;
# 03 ==========================================================================================;;;;;;
# 04 DB; type ; Application ; Connection ; Database ; Owner ; Table 
# 05 ==========================================================================================;;;;;;
# 06 DB          = Valore fisso che identifica la riga dati, a partire dal primo carattere;;;;;;
# 07 type        = [sql] oppure [ora] per individuare la tipologia di database;;;;;;
# 08 Application = Codice applicazione;;;;;;
# 09 Connection  = Connessione al database;;;;;;
# 10 Database    = Nome database;;;;;;
# 11 Owner       = Nome schema;;;;;;
# 12 Table       = Nome tabella;;;;;;
# 13 ==========================================================================================;;;;;;
DB; type ; Application ; Connection ; Database ; Owner ; Table 
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; V_DD_TRASCODIFICA_CF_NDG
DB ; ora ; HOME_BANKING ; 10.77.252.73:1521/HBK99S1O ; HBK99S1O ; HBK99S1O ; CONTRATTI_ATTUALI
DB ; ora ; HOME_BANKING ; 10.77.252.73:1521/HBK99S1O ; HBK99S1O ; HBK99S1O ; CONTRATTI_ARCHIVIO
DB ; ora ; HOME_BANKING ; 10.77.252.73:1521/HBK99S1O ; HBK99S1O ; HBK99S1O ; RUBRICA
DB ; ora ; HOME_BANKING ; 10.77.252.73:1521/HBK99S1O ; HBK99S1O ; HBK99S1O ; BONIFICO_ESTERO
DB ; ora ; HOME_BANKING ; 10.77.252.73:1521/HBK99S1O ; HBK99S1O ; HBK99S1O ; BONIFICO_ESTERO_CONTROVALORE
DB ; ora ; HOME_BANKING ; 10.77.252.73:1521/HBK99S1O ; HBK99S1O ; HBK99S1O ; BONIFICO_ESTERO_OUTPUT
DB ; ora ; HOME_BANKING ; 10.77.252.73:1521/HBK99S1O ; HBK99S1O ; HBK99S1O ; BONIFICO_ITA
DB ; ora ; HOME_BANKING ; 10.77.252.73:1521/HBK99S1O ; HBK99S1O ; HBK99S1O ; BONIFICO_OUTPUT
DB ; ora ; HOME_BANKING ; 10.77.252.73:1521/HBK99S1O ; HBK99S1O ; HBK99S1O ; BONIFICO_SEPA
DB ; ora ; HOME_BANKING ; 10.77.252.73:1521/HBK99S1O ; HBK99S1O ; HBK99S1O ; ONECLICK_BONIFICO_SEPA
DB ; ora ; HOME_BANKING ; 10.77.252.73:1521/HBK99S1O ; HBK99S1O ; HBK99S1O ; ONECLICK_OPERAZIONI
DB ; ora ; HOME_BANKING ; 10.77.252.73:1521/HBK99S1O ; HBK99S1O ; HBK99S1O ; ONECLICK_RICARICA_CELLULARE
DB ; ora ; HOME_BANKING ; 10.77.252.73:1521/HBK99S1O ; HBK99S1O ; HBK99S1O ; ONECLICK_SUDTIROLPASS
DB ; ora ; HOME_BANKING ; 10.77.252.73:1521/HBK99S1O ; HBK99S1O ; HBK99S1O ; FILIALEVIRTUALE_RICHIESTA_NEW
DB ; ora ; HOME_BANKING ; 10.77.252.73:1521/HBK99S1O ; HBK99S1O ; HBK99S1O ; FILIALEVIRTUALE_RICHIESTE
DB ; ora ; HOME_BANKING ; 10.77.252.73:1521/HBK99S1O ; HBK99S1O ; HBK99S1O ; AUDITING3
DB ; ora ; HOME_BANKING ; 10.77.252.73:1521/HBK99S1O ; HBK99S1O ; HBK99S1O ; GATEWAY_LOG_HTTP4
